word,mean_attr,count
At,0.6209200421969095,3
Domestic,0.41683736369013785,5
strength,0.38800373300909996,3
shaping,0.31695411913096905,12
settle,0.29265150769303244,3
Disapp,0.21704316263397536,3
transition,0.20808627243552888,7
space,0.20632222667336464,4
shift,0.20345804691314698,5
approach,0.1984798051416874,4
key,0.19813822023570538,4
constructive,0.19210119048754373,3
It,0.1731461402028799,5
working,0.17302430234849453,4
environment,0.1723195891128853,20
caregivers,0.1718722190707922,3
environments,0.16016479954123497,6
boost,0.15876108407974243,5
contribute,0.15635247031847635,3
strategies,0.15620093047618866,7
framework,0.1557843784491221,3
negative,0.15135667845606804,8
play,0.15038620680570602,4
communicate,0.15006730953852335,3
built,0.1395711408307155,6
support,0.13831702378742836,17
career,0.13775940630584954,5
Family,0.13589384779334068,4
overall,0.13518324866890907,10
goals,0.13453040816462958,13
challenges,0.13435805464784303,21
childhood,0.1341485008597374,9
successful,0.13222053753478186,7
community,0.13044753670692444,7
mechanisms,0.12964694947004318,3
recognize,0.1293824699241668,4
authentic,0.1279774472117424,5
experiences,0.12634589010849595,16
helps,0.1232201357682546,6
communication,0.12275365591049195,20
open,0.1200970531656192,13
positive,0.11959242292990287,12
supporting,0.11899243853986263,4
information,0.1187201701104641,6
align,0.11752144545316696,5
including,0.11719560325145721,5
fully,0.11717345068852107,3
trust,0.11653815934227572,18
important,0.11611875798553228,4
priorit,0.11608957592397928,8
risks,0.11597913652658462,5
coping,0.11566675773688725,7
crucial,0.11555068753659725,8
influenced,0.11287040077149868,4
interact,0.11279226653277874,4
navigate,0.1104455899912864,32
within,0.110029187053442,5
create,0.10994590514649948,30
importance,0.10958542972803116,5
health,0.10957703180611134,5
build,0.10924709786971411,15
mature,0.10849404707551003,4
evolved,0.10790914592022698,6
acknowledging,0.10780777456238866,8
learn,0.10733422414901164,13
better,0.10665283631533384,8
teamwork,0.10636977478861809,4
factors,0.10613017422812325,7
requires,0.10554299410432577,6
responsibilities,0.10522948536607954,9
embracing,0.105061100050807,10
mitigate,0.10427732020616531,3
based,0.10340124337623517,6
parents,0.10291614224358152,24
interactions,0.10290407538414001,5
significant,0.1026403667804386,28
care,0.10151123729619113,11
pressure,0.1001568069415433,7
foster,0.09996944603820641,3
decisions,0.09986261795991315,13
causing,0.09982912428677082,4
access,0.09894545376300812,6
married,0.09865198992192745,5
can,0.0985987890969243,228
human,0.09831150729830067,6
d,0.09717122628353536,8
online,0.09686398568252723,6
help,0.09672203380614519,8
impact,0.09664545625448227,25
couples,0.09613903589418223,29
resilience,0.09612772573849984,14
informed,0.0952685084193945,6
loved,0.09512891918420792,5
healthy,0.09408354474645522,9
foundation,0.09354529699141328,11
relationship,0.09332079623408358,29
stronger,0.09252523175544208,9
risk,0.09222586592659354,8
guidance,0.09200486963215683,7
valued,0.09164286404848099,3
situations,0.09130717689792316,3
growth,0.09027660389741261,12
restrict,0.08907303338249524,3
external,0.08902547756830852,3
individuals,0.08827944157919923,61
various,0.08739595348015428,4
shared,0.08712072968482971,5
Child,0.08675784710794687,8
building,0.08639478412541476,11
influences,0.08583920200665791,3
become,0.08568893221672624,12
playing,0.08536328126986821,3
children,0.08514612290408399,59
partners,0.08509641053775946,15
new,0.0850820116245666,37
develop,0.08454672319930978,32
loss,0.08438729265083869,15
conflicts,0.08403733484447003,5
partnership,0.08392812684178352,4
culture,0.0838140497605006,3
start,0.08343996154144406,8
significantly,0.08301382511854172,4
ultimately,0.08260584308300167,8
vulnerable,0.08243141074975331,3
hetic,0.08207122385501861,5
strong,0.08204077515983954,16
high,0.08161692880094051,3
barriers,0.08149342735608418,3
our,0.08132537972572185,74
behavior,0.08122837170958519,4
future,0.08091035764664412,6
opportunities,0.08040702953520748,18
challenging,0.08038784353993833,8
izing,0.08029553294181824,8
ited,0.08019952103495598,3
filters,0.07990632206201553,3
towards,0.07980849966406822,6
dependent,0.07964986066023509,3
developing,0.0795941065464701,7
facing,0.07906395783647895,5
moving,0.0790390819311142,3
security,0.07865711860358715,10
establish,0.07855892123188823,4
family,0.07850093657479566,17
Despite,0.07827862352132797,9
next,0.0781354270875454,3
promoting,0.07773572827378909,6
grow,0.07747705694701937,27
lack,0.07737614773213863,4
comfort,0.07737570566435654,9
limiting,0.0772330363591512,6
development,0.07688555656932294,8
independent,0.07670526827375095,3
aspect,0.07668454647064209,5
groups,0.07635934464633465,4
expectations,0.07584288634825498,20
learning,0.07564896065741777,8
critical,0.0755102460583051,3
effective,0.07477080635726452,4
role,0.07475512883892017,14
bond,0.07466919134770121,7
plays,0.07451686369521278,7
susceptible,0.07424152003867286,7
debilitating,0.07411881349980831,4
about,0.07402266895356165,22
also,0.07389915965569134,52
dis,0.0737718182305495,3
need,0.07348162215203047,9
supportive,0.07339232712984085,10
term,0.07321186984578769,3
receptive,0.07296500603357951,3
dynamic,0.07290530297905207,4
people,0.07283568924695656,37
met,0.07283522188663483,3
protection,0.07260321900248527,5
share,0.07251704204827547,4
way,0.07241590740159154,8
needed,0.07217915542423725,4
express,0.07177477097138762,3
sharing,0.0714354392673288,7
confident,0.07131222635507584,6
solely,0.071137602130572,3
meaningful,0.0711220871657133,5
connections,0.07071694215902916,13
loving,0.07049615178257226,5
roles,0.07033758734663327,6
values,0.06984477712669307,27
empathy,0.06921454767386119,9
fostering,0.06910712385017957,7
identity,0.06827539056539536,5
prioritize,0.06809824034571647,5
creating,0.06760175852105021,8
skills,0.06749263095359008,9
