word,mean_attr,count
Yet,0.19165815808810294,4
surroundings,0.13075749576091766,3
vulnerability,0.110049516790443,9
Marriage,0.10989975556731224,4
season,0.10976497118320802,46
hour,0.10898368929823239,6
universally,0.1088926965991656,3
farewell,0.10822953134775162,5
love,0.10773908607661724,10
them,0.10171223930748445,14
parent,0.09856705119212468,3
joined,0.09832621614138286,3
entimes,0.09636202028819493,7
courts,0.0960631515564663,7
spirits,0.09532699882984161,5
age,0.09388153846548111,54
commonly,0.0936683016744527,11
always,0.09062354415655136,5
existence,0.08987908884882927,5
generally,0.08878626227378845,5
kind,0.0881105326116085,5
connection,0.08669866621494293,7
loved,0.08665188495069742,4
oft,0.08575259250673381,11
fancy,0.08506673077742259,3
circumstance,0.08296327381616547,21
moments,0.08206991075227658,12
penchant,0.08204562403261662,4
landscape,0.08122661709785461,3
might,0.07854097026089828,3
susceptible,0.07831388339400291,10
born,0.07791298752029736,3
others,0.0771689999784375,29
And,0.07616552896797657,10
unknown,0.07544498052448034,4
com,0.07456695614382625,8
acknowledged,0.07434387244284153,5
intertwined,0.07414899269739787,3
life,0.07410807555009212,14
within,0.07266068245683398,7
immune,0.07043829606845975,4
frequently,0.07029596017673612,12
As,0.0700955146458,4
towards,0.06974032769600551,3
truth,0.06958418820674221,24
longing,0.06905493262008978,13
year,0.06888211601310307,9
universal,0.06828177571296692,5
over,0.0671541104093194,4
childhood,0.06661528508578028,14
possess,0.06608258719955172,7
ude,0.06569867270688216,3
though,0.0655868530628227,21
praise,0.0649090347190698,3
latter,0.06370179504156112,5
p,0.06320321187376976,12
passion,0.06317405526836713,3
affection,0.06280198115855455,20
rather,0.06275023077614605,8
despair,0.062286213506013155,8
sentiment,0.062069819826218814,9
vulnerable,0.0618271908412377,6
lasting,0.061652001738548276,5
romantic,0.061413561393107684,7
liberty,0.061329128744546324,4
scrutiny,0.06099032610654831,3
time,0.06079944904195145,8
instances,0.06053507203857104,3
constraint,0.05979085465272268,3
duty,0.05945218664904436,3
those,0.059394666366279124,20
reality,0.059265490621328354,6
measure,0.05888595655560493,5
departure,0.05880426602172,7
us,0.058696260035503656,16
whose,0.058571132947690785,6
two,0.05737893283367157,4
expectation,0.05737193091772497,8
certain,0.05704828966408968,5
need,0.0570267604974409,3
fact,0.056748104840517045,5
youth,0.05657618753612041,5
heights,0.05624762084335089,4
pursuit,0.05550664497007217,7
this,0.055170559464022516,30
hearts,0.0550418094628387,9
yet,0.05476697274882879,42
un,0.054766754974566755,63
come,0.05471374730889996,3
whims,0.05450248897873929,14
